,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll
53,4,4,12,4,7,4,5,4,9,4,3,1,2,0,1,0,0,0,1,0,12,19,12,11,24,17,14,11,13,13,,,-6060.0,,,,,,,
54,7,4,12,4,7,4,4,4,9,4,3,1,2,0,1,0,0,0,1,0,12,19,12,11,14,17,14,11,13,13,-7060.0,,,,,,-4070.0,-4055.0,,
55,7,4,12,4,4,4,4,4,3,4,3,1,2,0,1,0,0,0,4,0,12,19,12,11,14,17,20,23,0,13,,-5095.0,,-4055.0,-7070.0,-24085.0,,,-52000.0,-4065.0
56,7,4,0,4,4,4,4,4,3,4,3,1,0,0,1,0,0,0,4,0,12,21,4,21,27,22,20,23,17,26,,,-8020.0,,,,,,,
57,7,4,0,4,4,4,4,4,3,4,0,1,0,0,1,0,0,0,4,0,5,21,23,21,27,22,10,13,17,26,,,,,,,,,,
58,5,4,0,4,4,4,4,4,3,4,0,2,0,0,1,0,0,0,4,0,5,10,23,11,17,12,10,13,17,16,-6025.0,,,,,,,,,
59,5,4,0,4,4,4,4,4,3,4,0,2,0,0,1,0,0,0,2,0,25,10,23,11,17,12,10,13,9,16,,,,,,,-4050.0,-4065.0,,
60,5,4,0,4,4,5,4,4,3,3,0,2,2,0,1,0,0,0,2,0,25,10,11,11,17,12,26,29,9,16,,-6050.0,,-4055.0,,-4060.0,,,,-4080.0
61,5,4,0,4,6,5,4,4,3,3,0,2,2,0,1,0,0,0,2,0,25,27,11,21,17,23,26,29,9,25,,,,,-5085.0,,,,,
62,5,4,0,4,6,5,4,4,3,3,0,2,2,0,1,0,0,0,2,0,15,27,11,21,17,23,16,19,9,25,,,,,,,,,,
63,5,4,0,4,6,5,4,4,1,3,0,0,2,0,1,0,0,0,2,0,15,19,11,11,17,13,16,19,9,15,,,,,,,,,-4045.0,
64,6,4,0,4,6,5,4,4,1,3,0,0,2,0,1,0,0,0,2,0,15,19,11,11,7,13,16,19,22,15,-4075.0,,,,,,-4080.0,-4095.0,,
65,6,7,7,4,2,6,4,4,1,3,0,0,2,0,1,0,0,0,2,0,25,19,11,11,7,13,24,21,22,15,,-4095.0,-2055.0,-4055.0,-7035.0,-4065.0,,,,
66,6,7,7,4,2,6,4,4,1,4,0,0,2,0,1,0,0,0,0,0,25,19,22,21,23,17,24,21,14,15,,,,,,,,,,-2075.0
67,6,7,7,4,2,6,4,4,1,4,0,0,2,0,1,0,0,0,0,0,15,19,22,21,23,17,14,11,14,22,,,,,,,,,,
68,4,7,7,4,2,6,4,4,1,4,0,0,2,0,1,0,0,0,0,0,15,9,12,11,23,7,14,11,14,22,-6075.0,,,,,,,,,
69,4,6,3,4,2,6,4,4,1,4,0,0,2,0,1,0,0,0,0,0,25,9,12,11,13,7,14,11,14,12,,-6045.0,-48060.0,,,-6035.0,-4070.0,-4055.0,,
70,4,6,3,4,2,6,4,4,4,4,0,0,2,0,1,0,0,0,0,0,25,22,22,11,13,13,20,23,14,12,,,,-4055.0,,,,,-20070.0,
71,4,6,3,4,2,6,4,4,4,4,3,0,2,0,1,0,0,0,0,0,12,22,22,21,13,13,20,23,21,12,,,,,,,,,,-24060.0
72,4,6,3,4,6,6,4,4,4,4,3,0,2,0,1,0,0,0,0,0,12,22,12,21,13,13,10,13,21,21,,,,,-3065.0,,,,,
73,4,6,3,4,6,6,4,4,4,4,3,0,2,0,1,0,0,0,0,0,12,12,12,11,26,3,10,13,11,21,,,,,,,,,,
74,7,4,3,4,6,7,4,4,4,4,3,0,2,0,1,0,0,0,0,0,12,12,12,11,26,3,10,13,11,11,-7060.0,-6060.0,,,,-6015.0,-4050.0,-4065.0,,
75,7,4,3,4,6,7,4,4,6,4,3,0,2,0,1,0,0,0,0,0,12,27,12,11,16,28,26,29,11,11,,,,-4055.0,,,,,-44055.0,
76,7,4,5,4,4,7,4,4,6,4,3,0,2,0,1,0,0,0,0,0,12,27,12,21,16,28,26,29,18,11,,,-4060.0,,-27080.0,,,,,-4055.0
77,7,4,5,4,4,7,4,4,6,4,0,1,2,0,1,0,0,0,0,0,5,16,28,21,20,28,16,19,18,23,,,,,,,,,,
78,5,4,5,4,4,7,4,4,6,4,0,1,2,0,1,0,0,0,1,0,5,16,28,11,20,18,16,19,7,23,-6025.0,,,,,,,,,
79,5,4,5,4,4,5,4,4,4,4,0,1,1,0,0,0,0,0,1,0,25,16,19,11,11,18,16,19,7,13,,,,,,-6090.0,-4080.0,-4095.0,-7035.0,
80,5,6,5,4,4,5,4,4,4,4,0,1,1,0,0,0,0,0,1,0,25,16,19,11,11,25,24,21,27,13,,-5080.0,,-4055.0,,,,,,
81,5,6,5,4,4,5,4,4,4,4,0,1,1,0,0,0,0,0,1,0,25,16,19,21,11,25,24,21,27,13,,,-25095.0,,,,,,,-4065.0
82,5,6,5,4,2,5,4,4,4,4,0,1,1,0,0,2,0,0,1,0,15,16,27,21,11,13,14,11,27,26,,,,,-4055.0,,,,,
83,5,6,5,4,2,5,4,4,4,4,0,0,1,0,0,2,0,0,0,0,15,7,27,11,29,13,14,11,18,26,,,,,,,,,,
84,6,4,5,4,2,5,4,4,4,4,0,0,0,0,0,2,0,0,0,0,15,7,18,11,29,13,14,11,18,16,-4075.0,-6035.0,,,,,-4070.0,-4055.0,,
85,6,4,5,4,2,7,4,4,10,4,0,0,0,0,0,2,0,0,0,0,25,26,18,11,19,13,20,23,18,16,,,,-4055.0,,-6065.0,,,-4090.0,
86,6,4,5,4,2,7,4,4,10,3,0,0,0,0,0,2,0,0,0,0,25,26,18,21,19,14,20,23,18,16,,,-4090.0,,,,,,,-4080.0
87,6,4,5,4,2,7,4,4,10,3,0,0,0,0,0,2,0,0,0,0,15,26,28,21,19,14,10,13,18,25,,,,,,,,,,
88,4,4,5,4,5,7,4,4,4,3,0,3,0,0,0,0,0,0,0,0,15,13,28,11,19,6,10,13,8,25,-6075.0,,,,-2095.0,,,,-8040.0,
89,4,4,5,4,5,4,4,4,4,3,0,3,1,0,0,0,0,0,0,0,25,13,17,11,25,6,10,13,25,15,,,,,,-6030.0,-4050.0,-4065.0,,
90,4,4,5,4,5,4,4,4,4,3,0,3,1,0,0,0,0,0,0,0,25,13,17,11,25,10,26,29,25,15,,-7065.0,,-4055.0,,,,,,
91,4,4,5,4,5,4,4,4,4,3,3,3,1,0,0,0,0,0,0,0,12,20,17,21,15,10,26,29,25,15,,,-5085.0,,,,,,,
92,4,4,5,4,5,4,4,4,4,4,3,3,1,0,0,0,0,0,2,0,12,20,23,21,15,10,16,19,13,15,,,,,,,,,,-2075.0
93,4,4,5,4,4,4,4,4,4,4,3,0,1,0,0,0,0,0,2,0,12,13,23,11,15,0,16,19,13,22,,,,,-24075.0,,,,,
94,7,4,5,4,4,4,4,4,4,4,3,0,2,0,0,0,0,0,2,0,12,13,12,11,28,0,16,19,13,22,-7060.0,,,,,,-4080.0,-4095.0,,
95,7,4,5,4,4,4,4,4,5,4,3,0,2,0,0,0,0,0,2,0,12,13,12,11,28,0,24,21,13,12,,-4065.0,,-4055.0,,-4000.0,,,-6065.0,
96,7,4,12,4,4,4,4,4,5,4,3,0,2,0,0,0,0,0,2,0,12,24,12,21,18,27,24,21,27,12,,,-6060.0,,,,,,,
97,7,4,12,4,4,4,4,4,5,4,0,0,2,0,0,0,0,0,2,0,5,24,12,21,18,27,14,11,27,12,,,,,,,,,,-24060.0
98,5,4,12,4,3,4,4,4,5,4,0,0,2,0,0,0,0,0,1,0,5,14,12,11,18,27,14,11,18,21,-6025.0,,,,-4090.0,,,,,
99,5,4,0,4,3,4,4,4,5,4,0,0,0,0,0,0,0,0,1,0,25,14,4,11,22,17,14,11,18,21,,,-8020.0,,,,-4070.0,-4055.0,,
100,5,3,0,4,3,4,4,4,4,4,0,0,0,0,0,0,0,0,1,0,25,14,23,11,22,17,20,23,18,11,,-4070.0,,-4055.0,,,,,-5090.0,
101,5,3,0,4,3,4,4,4,4,4,0,0,0,0,1,0,0,0,1,0,25,22,23,21,11,17,20,23,28,11,,,,,,-24085.0,,,,
102,5,3,0,4,3,4,4,4,4,4,0,0,0,0,1,0,0,0,1,0,15,22,23,21,11,22,10,13,28,11,,,,,,,,,,-4055.0
103,5,3,0,4,3,4,4,4,4,4,0,0,2,0,1,0,0,0,0,0,15,12,11,11,11,22,10,13,19,23,,,,,,,,,,
104,6,3,0,4,11,4,4,4,4,4,0,0,2,0,1,0,0,0,0,0,15,12,11,11,11,12,10,13,19,23,-4075.0,,,,-3055.0,,-4050.0,-4065.0,,
105,6,3,0,4,11,4,4,4,2,4,0,0,2,0,1,0,0,0,0,0,25,12,11,11,28,12,26,29,19,13,,,,-4055.0,,,,,-4095.0,
106,6,4,0,4,11,5,4,4,2,4,0,0,2,0,1,0,0,0,0,0,25,12,11,21,28,12,26,29,27,13,,-2060.0,,,,-4060.0,,,,
107,6,4,0,4,4,5,4,4,2,4,0,0,2,0,0,0,0,0,0,0,15,29,11,21,19,23,16,19,27,13,,,,,-28095.0,,,,,-4065.0
108,4,4,7,4,4,5,4,4,2,4,0,0,2,0,0,0,0,0,0,0,15,29,11,11,22,23,16,19,17,26,-6075.0,,-2055.0,,,,,,,
109,4,4,7,4,4,5,4,4,2,4,0,0,2,0,0,0,0,0,0,0,25,19,22,11,22,13,16,19,17,26,,,,,,,-4080.0,-4095.0,,
110,4,4,7,4,4,5,4,4,2,4,0,0,2,0,1,0,0,0,0,0,25,19,22,11,11,13,24,21,17,16,,,,-4055.0,,,,,,
111,4,7,7,4,4,6,4,4,10,4,3,0,2,0,1,0,0,0,0,0,12,19,12,21,11,13,24,21,17,16,,-24095.0,,,,-4065.0,,,-2085.0,
112,4,7,3,4,4,6,4,4,10,3,3,0,2,0,1,0,0,0,0,0,12,19,12,21,11,17,14,11,17,16,,,-48060.0,,,,,,,-4080.0
113,4,7,3,4,4,6,4,4,10,3,3,0,2,0,1,0,0,0,0,0,12,19,22,11,11,17,14,11,17,25,,,,,,,,,,
114,7,7,3,4,4,6,4,4,2,3,3,0,2,0,1,0,0,0,0,0,12,9,22,11,11,7,14,11,7,25,-7060.0,,,,-5055.0,,-4070.0,-4055.0,-28035.0,
115,7,6,3,4,4,6,4,4,2,3,3,0,2,0,1,0,0,0,0,0,12,9,12,11,28,7,20,23,15,15,,-6045.0,,-4055.0,,-6035.0,,,,
116,7,6,3,4,4,6,4,4,2,3,3,0,2,0,1,0,0,0,0,0,12,22,12,21,28,13,20,23,15,15,,,,,,,,,,
117,7,6,3,4,4,6,4,4,2,3,0,0,2,0,0,0,0,0,0,0,5,22,12,21,19,13,10,13,15,15,,,,,,,,,,
118,5,6,3,4,4,6,4,4,2,4,0,0,2,0,0,0,0,0,1,0,5,22,12,11,19,13,10,13,4,15,-6025.0,,,,,,,,,-2075.0
119,5,6,5,4,4,6,4,4,2,4,0,0,2,0,0,0,0,0,1,0,25,12,12,11,19,3,10,13,4,22,,,-4060.0,,-4095.0,,-4050.0,-4065.0,,
120,5,4,5,4,4,7,4,4,2,4,0,0,2,0,0,0,0,0,1,0,25,12,28,11,27,3,26,29,4,22,,-6060.0,,-4055.0,,-6015.0,,,,
121,5,4,5,4,4,7,4,4,2,4,0,0,2,0,0,0,0,0,1,0,25,27,28,21,27,28,26,29,4,12,,,,,,,,,,
122,5,4,5,4,4,7,4,4,9,4,0,0,1,0,1,0,0,0,1,0,15,27,19,21,16,28,16,19,4,12,,,,,,,,,-3020.0,
123,5,4,5,4,4,7,4,4,9,4,0,1,1,0,1,0,0,0,1,0,15,16,19,11,16,28,16,19,13,12,,,,,,,,,,-24060.0
124,6,4,5,4,7,7,4,4,9,4,0,1,1,0,1,0,0,0,1,0,15,16,19,11,16,18,16,19,13,21,-4075.0,,-25095.0,,-5080.0,,-4080.0,-4095.0,,
125,6,4,5,4,7,5,4,4,9,4,0,1,1,0,1,0,0,0,1,0,25,16,27,11,24,18,24,21,13,21,,,,-4055.0,,-6090.0,,,,
126,6,6,5,4,7,5,4,4,3,4,0,1,1,0,1,0,0,0,4,0,25,16,27,21,24,25,24,21,0,11,,-5080.0,,,,,,,-52000.0,
127,6,6,5,4,7,5,4,4,3,4,0,1,0,0,1,0,0,0,4,0,15,16,18,21,14,25,14,11,17,11,,,,,,,,,,
128,4,6,5,4,4,5,4,4,3,4,0,1,0,0,1,2,0,0,4,0,15,16,18,11,14,13,14,11,17,11,-6075.0,,,,-7070.0,,,,,-4055.0
129,4,6,5,4,4,5,4,4,3,4,0,0,0,0,1,2,0,0,4,0,25,7,18,11,27,13,14,11,17,23,,,-4090.0,,,,-4070.0,-4055.0,,
130,4,4,5,4,4,5,4,4,3,4,0,0,0,0,1,2,0,0,2,0,25,7,28,11,27,13,20,23,9,23,,-6035.0,,-4055.0,,,,,,
131,4,4,5,4,4,7,4,4,3,4,3,0,0,0,1,2,0,0,2,0,12,26,28,21,17,13,20,23,9,13,,,,,,-6065.0,,,,
132,4,4,5,4,4,7,4,4,3,4,3,0,1,0,1,2,0,0,2,0,12,26,17,21,17,14,10,13,9,13,,,,,,,,,,
